,OBJECTID,link_4,link_3,link_2,hyperlink,projectno,year,GlobalID,Shape__Area,Shape__Length,EditYr,Edited,Link1True,Link2True,Link3True,Link4True
39,40, ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C267310B.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C267310A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C267310.pdf,C267310,2007.0,{EDB8EAF8-3252-40D2-820E-4F7ED0222567},578315.3164,3706.8447409999994,2018.0,YES,True,True,True,NoLink
40,41, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/75240.pdf,75240,1987.0,{8A6005C1-D314-4027-913B-680DB04FE507},577896.3633,4136.252116,,NO,True,NoLink,NoLink,NoLink
41,42, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C09310.pdf,C09310,0.0,{9069702D-45ED-45F6-996E-47AEE55D59E2},557377.3555,4840.525786,,NO,True,NoLink,NoLink,NoLink
42,43, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C47410.pdf,C47410,1992.0,{28AA5B6F-AFEF-4C62-8EBF-B30530960DB5},550966.3906,3841.938229,,NO,True,NoLink,NoLink,NoLink
43,44, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/G22210.pdf,G22210,1987.0,{956CA264-2AC9-407B-8A42-59E3C3E7B510},548404.3398,3385.450425,,NO,True,NoLink,NoLink,NoLink
44,45, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C268410.pdf,C268410,2009.0,{4E7B161E-78EF-4B70-97BE-2AD32CCE92A2},529860.3008,3720.1618369999997,2017.0,YES,True,NoLink,NoLink,NoLink
45,46, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C227810.pdf,C227810,2006.0,{A1C49FF3-B00C-41A3-AE98-15E69DBB9D81},521847.9961,3518.069329,2018.0,YES,True,NoLink,NoLink,NoLink
46,47, ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/SAD_5143B.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/SAD_5143A.pdf,http://oakbec.s3.amazonaws.com/Archive/As-Builts/SAD_5143.pdf,SAD 5143,1971.0,{F5CBD2E3-6D7E-4DC1-B134-A6D6DFCF8B4C},519051.3789,4271.35605,,NO,True,True,True,NoLink
47,48, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C52810.pdf,C52810,1994.0,{96174857-930E-4173-94FB-12EA22E04BC5},496796.3945,3305.851137,,NO,True,NoLink,NoLink,NoLink
48,49, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C59620.pdf,C59620,2001.0,{70E6A528-6245-4FC1-8321-E3EC1EF7DEC0},482296.3945,4089.0335219999997,,NO,True,NoLink,NoLink,NoLink
49,50, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/C52220.pdf,"C52220, C52230, C52240",1994.0,{FD88F4DA-626B-4C0E-ABEB-8EEED7327DD1},1126842.82,6452.827123,,NO,True,NoLink,NoLink,NoLink
50,51, , , ,http://oakbec.s3.amazonaws.com/Archive/As-Builts/H24010.pdf,H24010,0.0,{5C39BE8D-6A66-4455-BD50-2642788E8B8A},459311.6016,2736.094268,,NO,False,NoLink,NoLink,NoLink
